,sex,age,sibsp,parch,fare,embarked,class,who
0,male,22.0,1,0,7.25,S,Third,man
1,female,38.0,1,0,71.2833,C,First,woman
2,female,26.0,0,0,7.925,S,Third,woman
3,female,35.0,1,0,53.1,S,First,woman
4,male,35.0,0,0,8.05,S,Third,man
5,male,,0,0,8.4583,Q,Third,man
6,male,54.0,0,0,51.8625,S,First,man
7,male,2.0,3,1,21.075,S,Third,child
8,female,27.0,0,2,11.1333,S,Third,woman
9,female,14.0,1,0,30.0708,C,Second,child
10,female,4.0,1,1,16.7,S,Third,child
11,female,58.0,0,0,26.55,S,First,woman
12,male,20.0,0,0,8.05,S,Third,man
13,male,39.0,1,5,31.275,S,Third,man
14,female,14.0,0,0,7.8542,S,Third,child
15,female,55.0,0,0,16.0,S,Second,woman
16,male,2.0,4,1,29.125,Q,Third,child
