,count,mean,std,min,25%,50%,75%,max
q,200.0,0.004673335458246508,0.9175796260330666,-2.6492855548005827,-0.6041016229950347,0.016574681679818078,0.6798205142860699,2.5021429646028754
w,200.0,0.018771941024307424,1.0521762455006962,-2.8929277975292544,-0.7304885923260138,0.050422145446466074,0.8342226200306466,2.6390506988460287
e,200.0,0.039673873990562915,0.921840442839124,-3.4465443778781113,-0.5809211413163595,0.16372526858374092,0.6658081858757265,2.0714295163713823
r,200.0,0.012617421794034706,1.0597162508096631,-2.540223714458091,-0.6516691603186451,-0.06555114903315985,0.721914613161394,3.2417075869026877
t,200.0,0.08225385745474564,1.0253684537655856,-2.5321104587403145,-0.58694710009443,0.03634832590622476,0.7349853355085653,2.638099079962263
y,200.0,0.08483882423698909,0.9828977604107693,-2.559431128812339,-0.5630229434342326,0.1455508977714695,0.7314906448834142,2.764959154100656
u,200.0,0.16484930035757508,0.9651989431106305,-2.444973576505829,-0.46841815493635386,0.13423977912556784,0.8604674197305964,2.7659999439809786
i,200.0,-0.0619110714649319,0.9993639288806639,-2.5575356869254775,-0.7743891655830499,-0.036811205682913156,0.6322544151764096,2.522642760998683
o,200.0,0.020212075404927754,1.0445560793205184,-3.2743653828623076,-0.6481445098687773,0.05526933447387269,0.6962631867795532,3.360044906607899
p,200.0,0.07478582290951123,1.0814552623918303,-2.5694749202328775,-0.6751123559259082,-7.61467391053993e-05,0.8600736193978837,3.0510831748910348
a,200.0,-0.0765065767980206,0.9274862147416971,-2.777126312694604,-0.6099051211219064,-0.10974766506435817,0.5255880159234836,2.1720093575111874
s,200.0,-0.05231623671806886,0.9522343597554883,-2.8150880510746426,-0.7167619244493155,-0.026054196761635996,0.5829925475992922,2.471215316191478
d,200.0,-0.002747568882112521,1.0305415043536998,-2.7696795194027057,-0.8015270410750486,0.04461571018800965,0.6472953324509103,3.3526267091779087
f,200.0,-0.010466139868322849,0.993915932360269,-2.171819751964531,-0.7817909178836752,-0.04252749092573299,0.7025038663595524,2.458575690795788
g,200.0,-0.004619649950189605,0.9890756618056002,-2.477515738649681,-0.6924862932409112,0.008750591222975281,0.6678661908575858,2.3715035566129057
h,200.0,-0.07773845061018857,1.045218080064249,-2.810544457765551,-0.8742511269932478,-0.0707064579732942,0.7190648187684392,2.400782758577726
j,200.0,-0.02841266372460654,1.0244424125308893,-2.9695431235682506,-0.6769195167939634,-0.06398387677103598,0.5979962989672001,2.6400426023271715
k,200.0,-0.01955745539708552,0.9626345010403682,-2.4773108739166836,-0.7681062282328377,-0.04467589008430095,0.6980526378676873,2.6144336787692257
l,200.0,-0.05106293955195992,0.9601517118895403,-2.7543234890978754,-0.6618459066844151,-0.1112375850047542,0.650405183827788,2.13556366879964
z,200.0,0.038291434295211604,0.9088740725946755,-2.186551875110383,-0.5671272644678935,0.020413910393726413,0.6673161452069921,2.6353729006748985
x,200.0,-0.011170087169939245,1.070028493905242,-3.061036105865374,-0.7832857144793229,0.07008829804138055,0.6936839022988139,2.6716401626478046
c,200.0,0.046909283603625146,1.0182579093149082,-2.3763170553321578,-0.6500506587028678,0.11465177250834152,0.7607007247182838,2.7824835216104686
v,200.0,-0.12101221831008793,0.9925101242484754,-3.2355163648507768,-0.8120553596594946,-0.10005814930477215,0.4828841459723513,2.982865193525204
b,200.0,-0.08074087381294087,0.925060840301522,-2.548192482409515,-0.7648038736929931,-0.02875513337101837,0.6887379003640287,2.160829253813343
n,200.0,0.028856845122005655,0.9323772420231292,-3.835888487073525,-0.5424903603169506,0.021038611048923364,0.6918944450607033,2.3690672855430743
m,200.0,-0.08479180446076151,0.9816405524054376,-3.107318599152409,-0.7779464988144125,-0.052062428279522566,0.5879741178887535,2.2512789191215465
